country,year,gdp_millions,population,fossil_share_energy,fossil_share_elec,biofuel_consumption,biofuel_share_energy,solar_consumption,solar_share_energy,wind_consumption,wind_share_energy,hydro_consumption,hydro_share_energy,nuclear_consumption,nuclear_share_energy,other_renewable_consumption,other_renewables_share_energy,greenhouse_gas_emissions,energy_per_capita,primary_energy_consumption,per_capita_electricity,electricity_generation,green_energy_consumption,fossil_energy_consumption,renewable_share_energy
Central & South America (EIA),2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6811.079,0.0,0.0,0.0,0.0,0.0
Central & South America (EIA),2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8556.681,0.0,0.0,0.0,0.0,0.0
Central & South America (EIA),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7567.621,0.0,0.0,0.0,0.0,0.0
Central African Republic,2005,3745.739,4208845.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,352.11,1.482,38.015,0.16,0.0,0.0,0.0
Central African Republic,2014,2960.958,4798739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.238,1.143,35.426,0.17,0.0,0.0,0.0
Central African Republic,2020,0.0,5343024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.739,1.5,28.074,0.15,0.0,0.0,0.0
Central America (EI),2005,0.0,0.0,75.132,0.0,0.0,0.0,0.002,0.001,0.579,0.235,49.153,19.908,0.0,0.0,11.663,4.724,0.0,0.0,246.896,0.0,35.82,61.397000000000006,185.499,24.867555569956583
Central America (EI),2014,0.0,0.0,72.96,0.0,0.396,0.124,0.035,0.011,5.673,1.772,58.351,18.225,0.0,0.0,22.122,6.909,0.0,0.0,320.177,0.0,48.85,86.577,233.601,27.040355803196352
Central America (EI),2020,0.0,0.0,69.076,0.0,0.419,0.112,6.795,1.821,9.527,2.554,70.722,18.956,0.0,0.0,27.909,7.48,0.0,0.0,373.088,0.0,56.84,115.37199999999999,257.715,30.92353546616347
Central and South America (Shift),2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Central and South America (Shift),2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chad,2005,12146.549,10005013.0,0.0,91.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,109.556,1.096,11.994,0.12,0.0,0.0,0.0
Chad,2014,30490.776,13697128.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,303.739,4.16,19.712,0.27,0.0,0.0,0.0
Chad,2020,0.0,16644707.0,0.0,96.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,372.511,6.2,17.423,0.29,0.0,0.0,0.0
Chile,2005,276230.013,16175315.0,77.901,49.783,0.0,0.0,0.0,0.0,0.02,0.006,73.233,20.495,0.0,0.0,5.714,1.599,16.56,22090.879,357.327,3129.46,50.62,78.967,278.36,22.099365567113598
Chile,2014,377993.626,17687108.0,79.608,63.631,0.0,0.0,1.243,0.303,3.91,0.955,62.431,15.244,0.0,0.0,15.929,3.889,33.08,23154.375,409.534,3954.858,69.95,83.513,326.022,20.392201868465136
